movie_name,ja_release,ja_source,ja_author,vi_release,vi_source,vi_author
Thor: Love and Thunder (2022),08/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9233337,LoFi123,09/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9234648,thanhtu2004
"""The Peripheral"" Fuck You and Eat Shit (2022)",18/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9317199,LoFi123,18/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9317215,LoFi123
The Wonder (2022),17/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9316371,,16/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9314179,kors
Beyond the Universe (2022),29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9292350,,17/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9315971,thanhtu2004
"""The Queen's Umbrella"" Episode #1.10 (2022)",14/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9310730,Peterlin,14/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9310735,Peterlin
"""The Queen's Umbrella"" Episode #1.9 (2022)",13/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9309452,Peterlin,13/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9309486,Peterlin
"""The Peripheral"" What About Bob? (2022)",11/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9307361,LoFi123,11/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9307390,LoFi123
Run Sweetheart Run (2020),31/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9294256,,11/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9307173,thanhtu2004
"""The Queen's Umbrella"" Episode #1.8 (2022)",09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304738,Peterlin,09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304723,Peterlin
"""The Queen's Umbrella"" Episode #1.7 (2022)",09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304737,Peterlin,09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304722,Peterlin
Wendell & Wild (2022),29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9292668,,09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304339,thanhtu2004
The Curse of Bridge Hollow (2022),15/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9277101,,09/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9304338,thanhtu2004
All Quiet on the Western Front (2022),28/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9291347,,08/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9303669,thanhtu2004
Pearl (2022),05/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9300917,chee119,06/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9301941,duckeo92
"""The Peripheral"" Jackpot (2022)",06/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9301746,LoFi123,06/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9301751,LoFi123
Casablanca (1942),20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281888,,04/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9299246,thanhtu2004
Catherine Called Birdy (2022),02/11/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9296329,,07/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9266510,thanhtu2004
"""The Queen's Umbrella"" Episode #1.6 (2022)",30/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9294158,Peterlin,30/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9294163,Peterlin
"""The Queen's Umbrella"" Episode #1.5 (2022)",29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293342,Peterlin,29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293319,Peterlin
"""The Queen's Umbrella"" Episode #1.4 (2022)",29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293341,Peterlin,29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293317,Peterlin
"""The Queen's Umbrella"" Episode #1.3 (2022)",29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293340,Peterlin,29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293316,Peterlin
"""The Queen's Umbrella"" Episode #1.2 (2022)",29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293339,Peterlin,29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293315,Peterlin
"""The Queen's Umbrella"" Episode #1.1 (2022)",29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293338,Peterlin,29/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9293314,Peterlin
"""The Peripheral"" Haptic Drift (2022)",28/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290754,LoFi123,28/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290857,LoFi123
"""Romantic Killer"" Last Story!? (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289744,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290047,hazylum
"""Romantic Killer"" Just Tell Me if You Don't Like... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289738,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290046,hazylum
"""Romantic Killer"" Other Way Around, Dummy (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289732,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290045,hazylum
"""Romantic Killer"" Ginger Ale is a Force Majeure (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289726,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290044,hazylum
"""Romantic Killer"" Goose Bumps! I Am a Goose Now (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289720,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290043,hazylum
"""Romantic Killer"" You Sure Have Your Quirks... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289713,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290042,hazylum
"""Romantic Killer"" A ""Reincarnated-in-Another-Wor... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289707,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290041,hazylum
"""Romantic Killer"" You're More Troublesome in Fle... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289701,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290040,hazylum
"""Romantic Killer"" The Childhood Friend is Easy M... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289694,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290039,hazylum
"""Romantic Killer"" My Life Has Become a Dating Sim (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289688,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290038,hazylum
"""Romantic Killer"" It's Time for Children to Go t... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289682,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290037,hazylum
"""Romantic Killer"" Why Is there So Much Legalese ... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289676,hazylum,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9290036,hazylum
"""Guillermo del Toro's Cabinet of Curiosities"" Gr... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289308,LoFi123,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289271,LoFi123
"""Guillermo del Toro's Cabinet of Curiosities"" Lo... (2022)",27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289307,LoFi123,27/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9289270,LoFi123
Raymond & Ray (2022),23/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9285696,oakislandtk,21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282659,thanhtu2004
Hellraiser (2022),23/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9285418,,13/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9273788,thanhtu2004
"Argentina, 1985 (2022)",22/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9284020,,21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282657,thanhtu2004
"""The Peripheral"" Empathy Bonus (2022)",21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282632,LoFi123,21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282655,LoFi123
"""The Peripheral"" Pilot (2022)",21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282333,LoFi123,21/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9282361,LoFi123
"""Knights of the Zodiac: Saint Seiya"" Yomigae Fen... (2019)",20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281960,Aboytes,20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281971,Aboytes
"""Knights of the Zodiac: Saint Seiya"" Burakku Sei... (2019)",20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281171,Aboytes,20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281184,Aboytes
"""Knights of the Zodiac: Saint Seiya"" Nebyura chên (2019)",20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281143,Aboytes,20/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281156,Aboytes
"""Knights of the Zodiac: Saint Seiya"" Doragon tôjô (2019)",19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281018,Aboytes,19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9281030,Aboytes
"""Knights of the Zodiac: Saint Seiya"" Kosumo wo m... (2019)",19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280974,Aboytes,19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280983,Aboytes
"""Knights of the Zodiac: Saint Seiya"" Seiya (2019)",19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280898,Aboytes,19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280935,Aboytes
The School for Good and Evil (2022),19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280342,LoFi123,19/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9280358,LoFi123
"""See"" I See You (2022)",15/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9276470,oakislandtk,15/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9276484,oakislandtk
Clerks III (2022),14/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9275128,LoFi123,14/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9275136,LoFi123
